Time,V,F,P,Q,Ang
0,1,60.000075,564.981445,-24.18227,69.601646
0.0333333,1.00051409716705,60.000075,565.010803,-24.231432,69.601639
0.0666667,1.00059753459704,60.000075,564.979431,-24.264673,69.601631
0.1,1.00108607574365,60.001165,564.847534,-24.301712,69.60611
0.1333334,1.00070520504382,60.00204,564.660461,-24.163252,69.613579
0.1666667,1.00104032186753,60.00107,564.848572,-24.227619,69.613617
0.2,1.0006594511677,60.00059,565.002747,-24.198078,69.613655
0.2333333,1.0003943212369,60.000345,565.127014,-24.2019,69.613686
0.2666666,1.00028934089753,60.00021,565.177917,-24.268414,69.613701
0.2999999,1.00079133258122,60.000155,565.216919,-24.321308,69.613701
0.3333332,1.0014965596751,60.000115,565.149292,-24.47015,69.613678
0.3666665,1.00160286301811,60.000095,565.027649,-24.469742,69.613647
0.3999998,1.00090169313542,59.99901,565.027954,-24.386845,69.609184
0.4333331,1.00047237845206,59.99813,565.115723,-24.408432,69.601746
0.4666664,1.00033643982736,59.999105,564.977539,-24.359461,69.601715
0.4999997,1.00025165734367,59.9996,564.857117,-24.362362,69.601692
0.533333,1.0006338730972,59.99983,564.854919,-24.355726,69.601685
0.5666663,0.999963661499836,59.998895,564.937561,-24.302813,69.597252
0.5999996,0.999496641212549,59.998075,565.129944,-24.317524,69.589828
0.6333329,0.999370140013863,59.999085,565.078247,-24.254236,69.589821
0.6666662,1.00036739811269,59.99958,565.024353,-24.403601,69.58979
0.6999995,1.00065003579175,59.99983,564.941467,-24.414785,69.58976
0.7333328,1.00104301197495,59.999945,564.894226,-24.437479,69.589745
0.7666661,1.0005221674893,60.00002,564.823975,-24.373272,69.589745
0.7999994,1.00071865558089,60.000055,564.863586,-24.384918,69.589752
0.8333327,1.00173880164281,60.000075,564.962585,-24.498262,69.589752
0.866666,1.00245344411264,60.000075,565.006531,-24.59594,69.589745
0.8999993,1.00300925999469,60.000075,564.992432,-24.674536,69.589729
0.9333326,1.00295812590374,59.99901,565.069214,-24.748461,69.585281
0.9666659,1.0027037564026,59.997065,565.320374,-24.826353,69.573418
0.9999992,1.00245209905894,59.99716,565.295105,-24.895651,69.565956
1.0333329,1.00266876295615,59.99754,565.156555,-24.931982,69.561455
1.0666667,1.00318422722697,59.997385,565.05603,-25.054121,69.553955
1.1000005,1.00314250851197,59.997655,564.879883,-25.034386,69.549431
1.1333343,1.00289351922566,59.996395,564.953979,-25.092846,69.537529
1.1666681,1.00311693044147,59.995765,565.065552,-25.204044,69.525642
1.2000018,1.00349242092647,59.99544,565.123535,-25.293106,69.513733
1.2333356,1.00387060151888,59.99527,565.130981,-25.363386,69.501808
1.2666694,1.0042514722187,59.995195,565.057495,-25.495869,69.489883
1.3000032,1.00401864562695,59.995155,564.980408,-25.497845,69.477951
1.3333369,1.00405361702334,59.995135,564.931152,-25.552187,69.466034
1.3666707,1.00377503655546,59.995135,564.892517,-25.569069,69.454117
1.4000045,1.0033443768184,59.995135,564.892151,-25.556364,69.442215
1.4333383,1.00352472426551,59.995115,564.95105,-25.64879,69.430313
1.4666721,1.00390694001904,59.996185,564.894775,-25.696627,69.422844
1.5000058,1.00336455262401,59.99813,564.606018,-25.597149,69.422791
1.5333396,1.00250995841842,59.999105,564.484802,-25.472635,69.422783
1.5666734,1.00227309666553,60.000685,564.475708,-25.335232,69.427299
1.6000072,1.00223810321908,60.00181,564.538147,-25.283886,69.434814
1.633341,1.00188819080459,60.00204,564.761597,-25.281096,69.439392
1.6666747,1.00204834039602,60.004655,564.7005,-25.228697,69.455917
1.7000085,1.00241710561248,60.006295,564.630371,-25.232203,69.475426
1.7333423,1.00232557581019,60.005705,564.874451,-25.203953,69.487503
1.7666761,1.00208467889618,60.005415,565.106506,-25.219574,69.499573
1.8000098,1.00169977303523,60.005265,565.250793,-25.204681,69.511642
1.8333436,1.00127045835188,60.00517,565.271362,-25.236872,69.523674
1.8666774,1.00084517882964,60.00513,565.246704,-25.205952,69.535698
1.9000112,1.00027185519934,60.004025,565.304077,-25.160767,69.543221
1.933345,0.999650065535447,60.00206,565.497498,-25.149662,69.543274
1.9666787,0.999950188912701,60.00107,565.547424,-25.302013,69.543289
2.0000124,0.99994615375158,59.999505,565.555359,-25.349976,69.538811
2.0333452,0.999123862885027,59.99731,565.592102,-25.311232,69.526901
2.066678,0.998714724007282,59.996205,565.496521,-25.309202,69.514977
